Timothy,Henderson,thenderson@pixonyx.gov,1
Cheryl,Carr,ccarr@brainlounge.com,1
Brenda,Ellis,bellis@quimba.net,1
Sarah,Hernandez,shernandez@browsetype.edu,0
Thomas,Oliver,toliver@quimba.com,0
Benjamin,Dean,bdean@babbleblab.net,1
Harry,Alexander,halexander@latz.org,0
Joe,Thompson,jthompson@centizu.com,1
Denise,Kim,dkim@yacero.mil,1
Jerry,Gordon,jgordon@vinte.gov,0
Jennifer,Watkins,jwatkins@yotz.gov,0
Shirley,Clark,sclark@roomm.name,1
Virginia,Sullivan,vsullivan@browsetype.net,1
Howard,Richardson,hrichardson@feednation.biz,0
Larry,Chavez,lchavez@jetwire.gov,1
Gregory,Duncan,gduncan@photospace.mil,1
Roy,Griffin,rgriffin@divanoodle.mil,1
Denise,Lawrence,dlawrence@blogtag.name,0
Roger,Coleman,rcoleman@bubblemix.net,0
Linda,Berry,lberry@youfeed.com,0
Heather,Phillips,hphillips@kayveo.biz,0
Samuel,Parker,sparker@skiba.biz,1
Raymond,Sullivan,rsullivan@flipopia.mil,1
Betty,Jacobs,bjacobs@jaxspan.net,1
Marilyn,Fuller,mfuller@dazzlesphere.gov,0
Brandon,Hernandez,bhernandez@feedspan.edu,1
Sandra,Morales,smorales@quimm.biz,1
Phillip,Warren,pwarren@wordify.net,0
Wanda,Jackson,wjackson@photobug.net,1
Nicholas,Hughes,nhughes@gigaclub.name,0
Tammy,Day,tday@linktype.com,0
Kathryn,Shaw,kshaw@browsedrive.com,1
Angela,Sullivan,asullivan@quatz.gov,1
Martin,Henderson,mhenderson@ooba.net,0
Carol,Mcdonald,cmcdonald@demimbu.mil,0
George,Spencer,gspencer@jetpulse.mil,0
Tammy,Tucker,ttucker@kare.info,0
Diane,Reynolds,dreynolds@innoz.org,0
Albert,Hart,ahart@avaveo.name,1
Albert,Patterson,apatterson@babblestorm.edu,0
Frank,Murray,fmurray@trilith.org,1
Brenda,Thomas,bthomas@snaptags.mil,1
Joyce,Diaz,jdiaz@livez.edu,0
Lisa,Scott,lscott@jabbersphere.net,1
Albert,Owens,aowens@ooba.mil,0
Terry,Gonzalez,tgonzalez@quatz.name,0
Doris,Hawkins,dhawkins@trilia.biz,1
Anthony,Woods,awoods@bluejam.name,1
Heather,Snyder,hsnyder@aimbo.info,0
Daniel,Ramirez,dramirez@zoozzy.biz,1
Julie,Ward,jward@innojam.mil,0
Paula,Greene,pgreene@gevee.name,0
Kevin,Burke,kburke@mynte.net,0
